Mensagem Anterior,Data,Mensagem Cliente 1,Mensagem Cliente 2,Mensagem Cliente 3,Mensagem Cliente 4,Mensagem Cliente 5,Mensagem Cliente 6,Mensagem Cliente 7,Status,ADCCID,Service,Concatenacao
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 13:03,,,,,,,,,36c3427b-3bba-4c15-9325-19e508969442,349946171,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 13:18,,,,,,,,,14755886-5258-4404-aa57-b31f9e401908,106026550,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 14:03,,,,,,,,,f07e6c4e-9e72-4567-8ae7-c554703e15f1,349562775,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 14:46,,,,,,,,,43f78fae-a035-4900-b6c3-594a2d873f0f,106056836,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 15:24,,,,,,,,,2c95a90e-ab06-41d9-9cf0-89f38d7182b0,330095886,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 17:03,A,,,,,,,,c1919554-1acb-49a1-8125-3aa0aec14e57,146102603,A          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 18:03,????,,,,,,,,195757cf-50e0-4e2b-921c-b141de617af6,334856766,????          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 20:03,Ajuda,,,,,,,,a7e58d45-889a-4127-a7e1-6577242f531a,231804091,Ajuda          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 20:09,Só que eles não me atendem,,,,,,,,0b939386-2cf2-4abd-a3a7-92d2080fbfad,285178167,Só que eles não me atendem          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 21:03,Não te sinal wifi,,,,,,,,b170c6b8-7af9-41b0-92da-68d499e6fef9,326908966,Não te sinal wifi          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 21:03,,,,,,,,,cb41c8b8-cec7-4e20-a230-2e67e5f6a1bb,346338260,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 0:00,,,,,,,,,3f078ec1-7ace-4eb0-b058-acb8e6e66761,345828418,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 0:11,,,,,,,,,cb56a429-026d-468c-9004-ae78b4ecd7ac,345838302,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 0:18,,,,,,,,,1e5435ef-cdcc-4fda-800a-96ee1cf21d24,344587617,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 0:30,,,,,,,,,c0bb3e90-d032-4f8d-b913-d245fd0d573f,339832398,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 0:51,,,,,,,,,ca4883d5-4097-4bfc-aede-5f43e676f0dd,313028412,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 0:53,Estamos sem modem,Ok,,,,,,,0eae3cf3-b9a0-4456-993d-029a5a541e5d,334581710,Estamos sem modem Ok         
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 1:09,,,,,,,,,20220996-f5e8-4ed4-851b-04add9e56083,348744932,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 1:47,,,,,,,,,af0aa69c-962d-429e-8a4e-ae064e414c03,327073310,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 2:43,,,,,,,,,1e15be5f-338f-40df-bf10-8f56ea4b695d,296875761,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 2:58,Ok,,,,,,,,898f2c7c-1a9c-4966-a89b-ef708fda4688,326757003,Ok          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 3:48,,,,,,,,,63f525ee-301c-4ac7-8163-5b456ec1fafc,319925615,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 3:53,,,,,,,,,dcd6d472-f499-4c9d-b045-4215e0990bc0,334844930,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 3:57,,,,,,,,,09db7240-edda-41d7-859d-1af17acd620c,326639981,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 4:01,Oi,Eu quero um tc na minha residencia,,,,,,,ccf7ea8d-6b19-47c9-aa96-33747cda4b5c,329225723,Oi Eu quero um tc na minha residencia         
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 4:41,Oi,?(???,,,,,,,013956c6-3e5f-48ad-bf80-72486577b183,330927101,Oi ?(???         
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 4:46,,,,,,,,,b0c4ddfe-3153-480e-bbd9-d5c2a1befe47,329648119,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 4:58,Sem internet,Sim internet,Sem internet,Nerda,Merda,Sem internet,Sem internet,,3172f39b-51a9-4b2b-883e-1d61d07b9716,330738114,Sem internet Sim internet Sem internet Nerda Merda Sem internet Sem internet 1 suporte tecnico   
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 5:08,Olá,,,,,,,,14632d47-61d3-4db7-befe-2b6464976c32,289077217,Olá          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 5:13,B dia,,,,,,,,a9bd6843-ad7d-4c85-81f0-4bd1bbf13aad,349442805,B dia          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 5:17,Oii,Oi,Bozta,Oi,Oi,Estou precisando de ajuda,,,9db14937-be6b-4248-ba0e-ac912b519abe,337781914,Oii Oi Bozta Oi Oi Estou precisando de ajuda     
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 5:20,,,,,,,,,8349377d-018d-4b5d-9ed5-9e5dd2209b27,145208892,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 5:22,,,,,,,,,a97338ae-90f5-4bde-9749-20dc1605c9e4,330754176,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 5:31,Enquanto não trabalho é isso?????,2,Bom dia,,,,,,81fbd870-4da6-4c66-b425-f9c653f9731e,327097705,Enquanto não trabalho é isso????? 2 Bom dia        
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 5:42,,,,,,,,,f26a8dfb-a5e4-4dfa-b24e-ca4f0a1b8b57,328933948,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 5:47,,,,,,,,,60643380-19ac-4ddf-bd48-5647736f8ba7,112554732,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 5:55,Ok,,,,,,,,871f6555-5f0f-4225-b380-40f1b09e9b89,346589905,Ok          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 5:57,Falar com atendente,,,,,,,,5b05d446-7227-445c-b111-93b1dfe34d78,329660622,Falar com atendente          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:03,,,,,,,,,bad55859-7d80-423a-8753-e8e194d25f52,118250551,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:04,,,,,,,,,025d935f-5f6d-4051-a339-dd5c3fa288b0,288275689,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:04,,,,,,,,,39b1c3e3-2ba6-46e9-a91f-f13c806eea84,330748042,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:05,,,,,,,,,47d5659c-1b28-4972-9e14-fadb12f420e2,337000721,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:09,,,,,,,,,53733833-81bc-4945-9c6f-af5cffe30d25,328727847,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:14,Ok,Estou precisando de ajuda,,,,,,,74779c31-ea28-4e36-a600-c801fbe36bc1,265484072,Ok Estou precisando de ajuda         
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:14,,,,,,,,,1b3dde91-c959-4b5d-acd7-73b3f1ac8dcb,349393192,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:16,,,,,,,,,19ec8caf-9b4c-4329-b327-c7d87b1e6431,329661240,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:19,,,,,,,,,8d43b30d-ce3f-4e71-8604-c62f2e947e57,112554732,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:22,Já passou desde prazo,Oi,,,,,,,1b218666-435c-4690-9fd2-61b8417cb08c,228602690,Já passou desde prazo Oi         
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:24,,,,,,,,,855c76bc-a7c5-4b8c-9ea2-0bed587ad248,328193652,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:25,,,,,,,,,6957c69a-9b4c-4e11-9cb7-2c69886a5cf1,284779669,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:26,Ok,Ok,Reparo urgente,REPARO URGENTE,Reparo urgente,,,,c0302835-6403-499d-9b4d-9eb61c607d9d,144388276,Ok Ok Reparo urgente REPARO URGENTE Reparo urgente      
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:28,,,,,,,,,641e541b-3a6d-4143-a899-1e14cac81f87,118152139,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:28,,,,,,,,,db4ab97c-edf9-4998-99d1-dd32f5a53c28,183373832,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:30,Desgraça!!!!!!!,Três dias que estou tentando resolver neu problema.,,,,,,,962ba97f-8ca6-4854-85ab-21a09bbc4d43,326709574,Desgraça!!!!!!! Três dias que estou tentando resolver neu problema.         
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:30,,,,,,,,,7b17aba8-e04d-4e4b-a662-8d47ef8b7af2,344993123,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:30,Agendamento?,,,,,,,,b9a7561d-95fa-4c55-a6c1-8b7671a25993,334736158,Agendamento?          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:31,,,,,,,,,7db11c2c-8ec7-49c0-b826-3a8051a65a7a,109253895,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:33,,,,,,,,,bcd9d71a-4ec8-4b4b-bb92-7bad9e67474b,119822922,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:34,,,,,,,,,fcccedfb-cf3e-43a3-a4fe-c8cc58be119e,334077834,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:39,Sem internet,,,,,,,,31731dd7-24ef-44df-a974-27d437216256,337733971,Sem internet          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:42,24 horas?,24 horas,,,,,,,d7cf7f78-c5d0-4f5e-98bc-852ebc14684b,335537565,24 horas? 24 horas         
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:42,,,,,,,,,247dc7e4-4ca3-47a6-a9c3-e53195d55763,329877976,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:48,Oi,Oi,,,,,,,a550314a-48a6-4665-89a4-fcb42746bac4,330478494,Oi Oi         
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:49,,,,,,,,,5f01064d-79b4-4969-9f60-5d66cb490975,285880588,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:56,,,,,,,,,53765692-4e29-4787-99f3-f2008aa92824,245710768,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:58,,,,,,,,,a4a22b24-5806-47a2-8465-883a5745ab8a,322476311,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:58,Oi,Oi,Bom dia,Ola,,,,,ae814280-d9d5-41c4-9764-775277f77bb3,272828208,Oi Oi Bom dia Ola       
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 6:58,,,,,,,,,cf11a0f2-8788-4313-943d-7ee961d0f380,345790584,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 7:07,,,,,,,,,bda2ff7f-41a5-4634-b429-658463dee2c7,262411356,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 7:08,,,,,,,,,fae1f762-9bb6-491c-99d8-c3354a7306c6,329130332,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 7:08,,,,,,,,,7c41392a-029f-4b9d-bd1e-59c7b2a341d7,349546059,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 7:09,Ok,,,,,,,,727087cb-5148-4999-b550-19cb3c0aaa7b,261265690,Ok          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.

A previsão de correção é de 24 horas.",12/14/2022 7:09,,,,,,,,,5633afef-1803-4629-9524-08cdc823fe37,337747495,          
